day,location,occupy_0000,occupy_0100,occupy_0200,occupy_0300,occupy_0400,occupy_0500,occupy_0600,occupy_0700,occupy_0800,occupy_0900,occupy_1000,occupy_1100,occupy_1200,occupy_1300,occupy_1400,occupy_1500,occupy_1600,occupy_1700,occupy_1800,occupy_1900,occupy_2000,occupy_2100,occupy_2200,occupy_2300
wed,jurong_west,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.1333,0.18,0.23835,0.23835,0.25,0.24165,0.25,0.2833,0.2933,0.3333,0.4567,0.59,0.635,0.49670000000000003,0.0,0.0
thu,jurong_west,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1533,0.1967,0.22,0.2267,0.2133,0.2267,0.25670000000000004,0.26,0.2967,0.4067,0.5433,0.5767,0.43670000000000003,0.0,0.0
fri,jurong_west,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1233,0.1833,0.24,0.2633,0.24670000000000003,0.25670000000000004,0.2767,0.31,0.29,0.30329999999999996,0.38670000000000004,0.46,0.4767,0.365,0.0,0.0
sat,jurong_west,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24670000000000003,0.3467,0.39,0.3833,0.375,0.37329999999999997,0.38670000000000004,0.38670000000000004,0.3967,0.41,0.33,0.0,0.0,0.0,0.0
sun,jurong_west,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.3367,0.38670000000000004,0.3833,0.37670000000000003,0.37,0.42,0.4667,0.49329999999999996,0.5,0.4,0.0,0.0,0.0,0.0
mon,bukit_gombak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12085000000000001,0.24585,0.35,0.375,0.5083,0.4875,0.44165,0.4,0.40415,0.48335,0.575,0.7,0.8583,0.8125,0.8167,0.01665,0.0
tue,bukit_gombak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27915,0.3667,0.40415,0.425,0.4125,0.40415,0.425,0.4167,0.42085,0.6125,0.775,0.8332999999999999,0.8917,0.0,0.0
wed,bukit_gombak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10830000000000001,0.2375,0.29585,0.3583,0.43329999999999996,0.43329999999999996,0.4,0.4167,0.5083,0.52915,0.55835,0.5958,0.6125,0.7583500000000001,0.89585,0.0,0.0
thu,bukit_gombak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2833,0.425,0.4583,0.44170000000000004,0.4667,0.5,0.42085,0.425,0.525,0.6667000000000001,0.7125,0.79165,0.7917000000000001,0.0,0.0
fri,bukit_gombak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.24170000000000003,0.3417,0.3917,0.42085,0.4167,0.4375,0.425,0.42915,0.5,0.525,0.525,0.625,0.6667000000000001,0.6125,0.0,0.0
sat,bukit_gombak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24170000000000003,0.375,0.4875,0.5375,0.59585,0.5583,0.60415,0.6333,0.6125,0.59585,0.4833,0.0,0.0,0.0,0.0
sun,bukit_gombak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.3833,0.52085,0.6417,0.6833,0.6541499999999999,0.6208,0.66665,0.6417,0.6583,0.65,0.0,0.0,0.0,0.0
mon,bishan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25835,0.3667,0.45,0.5167,0.5667,0.6,0.61665,0.5667,0.625,0.6,0.775,0.8083500000000001,0.8416499999999999,0.9333,0.2667,0.0,0.0
