day,location,occupy_0000,occupy_0100,occupy_0200,occupy_0300,occupy_0400,occupy_0500,occupy_0600,occupy_0700,occupy_0800,occupy_0900,occupy_1000,occupy_1100,occupy_1200,occupy_1300,occupy_1400,occupy_1500,occupy_1600,occupy_1700,occupy_1800,occupy_1900,occupy_2000,occupy_2100,occupy_2200,occupy_2300
wed,bedok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.225,0.19,0.26,0.305,0.24,0.22,0.23,0.255,0.25,0.25,0.245,0.29,0.325,0.285,0.0,0.0
thu,bedok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.22,0.23,0.26,0.215,0.2,0.23,0.235,0.28,0.32,0.42,0.47,0.365,0.0,0.0
fri,bedok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.24,0.215,0.295,0.33,0.25,0.3,0.34,0.29,0.19,0.26,0.24,0.33,0.425,0.37,0.0,0.0
sat,bedok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.37,0.37,0.26,0.285,0.325,0.345,0.32,0.33,0.31,0.18,0.0,0.0,0.0,0.0
sun,bedok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.31,0.245,0.255,0.28,0.32,0.375,0.405,0.44,0.43,0.295,0.0,0.0,0.0,0.0
mon,average_gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19295,0.28,0.3691,0.44,0.49415,0.475,0.43417500000000003,0.41924999999999996,0.47019999999999995,0.476675,0.5741499999999999,0.645,0.7533500000000001,0.7855,0.561675,0.0,0.0
tue,average_gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256,0.41174999999999995,0.413825,0.4325,0.4129,0.40207499999999996,0.4754,0.47204999999999997,0.50335,0.61375,0.78165,0.8066499999999999,0.5862,0.0,0.0
wed,average_gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1748,0.25375,0.32305,0.41765,0.4402,0.42840000000000006,0.4,0.41585,0.49165,0.51,0.53585,0.6179,0.7433,0.7833500000000001,0.5498000000000001,0.0,0.0
thu,average_gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29835,0.39,0.40674999999999994,0.38909999999999995,0.36665,0.39325000000000004,0.431,0.45515,0.50915,0.565,0.69575,0.7356,0.564425,0.0,0.0
fri,average_gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16445,0.24085,0.34585,0.42,0.433075,0.42010000000000003,0.43375,0.44855000000000006,0.49795,0.48195,0.49835,0.55145,0.6184000000000001,0.61835,0.49165,0.0,0.0
sat,average_gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369,0.5012000000000001,0.5506,0.5354,0.493075,0.55165,0.562125,0.5698000000000001,0.60625,0.601125,0.49879999999999997,0.0,0.0,0.0,0.0
sun,average_gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31435,0.49,0.53765,0.5488,0.50335,0.540725,0.6154,0.63335,0.6275,0.66665,0.547725,0.0,0.0,0.0,0.0
mon,tampines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1545,0.24775,0.38865,0.42955,0.45909999999999995,0.36365,0.2773,0.2682,0.3818,0.46590000000000004,0.5136499999999999,0.525,0.5772999999999999,0.50225,0.0,0.0
tue,tampines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591,0.3091,0.3909,0.44549999999999995,0.4318,0.4,0.4841,0.4727,0.4341,0.54775,0.6227,0.7182,0.55,0.0,0.0
wed,tampines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12045,0.17045000000000002,0.25225000000000003,0.3455,0.3455,0.35,0.3045,0.2841,0.38865,0.29774999999999996,0.3091,0.3818,0.5318,0.5727,0.39094999999999996,0.0,0.0
thu,tampines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2364,0.275,0.30225,0.3636,0.35,0.3,0.33635000000000004,0.33640000000000003,0.3864,0.45225000000000004,0.5932,0.6522999999999999,0.54315,0.0,0.0
fri,tampines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10905,0.16135,0.24775,0.32045,0.3818,0.3864,0.3318,0.33640000000000003,0.38409999999999994,0.32955,0.39775,0.43635000000000007,0.46135000000000004,0.47955,0.37274999999999997,0.0,0.0
sat,tampines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1955,0.3,0.42045,0.43865000000000004,0.4182,0.4545,0.4932,0.5386500000000001,0.55455,0.575,0.45909999999999995,0.0,0.0,0.0,0.0
sun,tampines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1955,0.35450000000000004,0.41135,0.4727,0.45909999999999995,0.46814999999999996,0.57275,0.59775,0.6068,0.675,0.54545,0.0,0.0,0.0,0.0
